,Labels,Silhouette_samples
0,115,0.32519380528469094
1,322,0.7185524794288233
2,70,0.5378946198465919
3,16,0.1581174701800952
4,70,0.659159192462604
5,173,0.08216944991302076
6,70,0.5378946198465919
7,70,0.5378946198465919
8,89,0.03288429597434125
9,70,0.659159192462604
10,70,0.26856373354594326
11,70,-0.32501891542062344
12,258,0.16268703240018145
13,16,0.27012200585414864
14,258,0.22912086010554517
15,70,0.0804470524677784
16,16,0.3253425967929291
17,70,0.659159192462604
18,16,0.04526651844414217
19,159,0.08086448995201807
20,105,0.08192692655479916
21,16,-0.06437512599918771
22,16,0.2112256078113453
23,70,0.26856373354594326
24,258,0.5059945842198798
25,89,0.14231877798739306
26,0,0.1741228232747199
27,70,0.659159192462604
28,56,0.11710838052288983
29,70,0.659159192462604
30,16,0.2180218859645681
31,163,0.1662666778647943
32,70,0.5378946198465919
33,16,0.1843252805652055
34,258,0.3837781662153353
35,258,0.47041689887860333
36,150,0.24331818658120594
37,137,0.2675431436895627
38,339,0.024025343614827437
39,16,0.24371790007109778
40,0,-0.0992372500996777
41,173,0.01777741595669134
42,70,0.659159192462604
43,95,0.21499500100639457
44,70,0.5378946198465919
45,70,0.659159192462604
46,89,0.15563746141809545
47,16,0.13376909535682385
48,367,0.09293181929018307
49,0,0.020472702309423836
50,70,0.659159192462604
51,364,0.002717335309971061
52,70,0.5378946198465919
53,70,0.26856373354594326
54,121,0.47482557107968765
55,70,0.659159192462604
56,16,0.3253425967929291
57,72,0.29944812479152316
58,258,0.3743390846165528
59,71,0.12611109903797102
60,70,0.5378946198465919
61,70,0.659159192462604
62,70,0.659159192462604
63,16,0.08418021586183685
64,16,-0.12821673506585324
65,70,0.3931454358904516
66,70,0.5378946198465919
67,70,0.659159192462604
68,630,0.13283026768543665
69,70,0.659159192462604
70,258,0.2964834140968334
71,70,0.5378946198465919
72,56,0.2191170812074627
73,478,0.0
74,70,0.659159192462604
75,1,0.10197904611049452
76,70,0.5378946198465919
77,225,0.26523301204678185
78,58,0.19422666326882604
79,16,0.137194583288786
80,71,-0.004661939185672072
81,258,0.4463020879931632
82,70,0.659159192462604
83,70,0.659159192462604
84,70,0.659159192462604
85,70,0.5378946198465919
86,258,0.2033441639810817
87,70,0.659159192462604
88,70,0.659159192462604
89,115,0.2046102272323947
90,70,0.20738746589459464
91,16,0.1720570140912564
92,70,0.5378946198465919
93,16,0.3253425967929291
94,83,0.08458443910358754
95,70,0.5378946198465919
96,258,0.4833466831641237
97,70,0.5378946198465919
98,70,-0.21093602618465723
99,149,0.06443690166848741
100,70,0.5378946198465919
101,70,0.5378946198465919
102,16,0.20723976568045177
103,70,0.26856373354594326
104,322,0.47151115575223074
105,258,0.471370884616938
106,16,0.036655716635023705
107,16,0.17895502548959102
108,70,0.659159192462604
109,70,0.659159192462604
110,0,-0.20549874057124004
111,70,0.0804470524677784
112,173,0.06158721038557251
113,322,0.03985869805028931
114,708,0.0
115,26,0.2543806782445224
116,70,0.659159192462604
117,70,0.5378946198465919
118,339,0.3398835882688442
119,0,-0.0051955355871580195
120,84,0.15367879356376407
121,70,0.659159192462604
122,70,0.26856373354594326
123,70,0.5378946198465919
124,70,0.5378946198465919
125,56,0.2191170812074627
126,16,-0.06899627836488342
127,70,0.659159192462604
128,588,0.9411708885590924
129,16,0.14870281413686212
130,70,0.5378946198465919
131,70,0.659159192462604
132,373,0.2852021143730031
133,70,0.659159192462604
134,70,0.659159192462604
135,16,0.3253425967929291
136,70,0.5378946198465919
137,0,0.036306184970609376
138,70,0.659159192462604
139,16,0.22737447112549963
140,70,0.5378946198465919
141,240,0.1581684348335591
142,70,-0.1732136815347424
143,424,0.0
144,70,0.5378946198465919
145,0,0.10820132250562539
