,Labels,Silhouette_samples
0,93,1.0
1,745,0.06816905683282004
2,93,1.0
3,93,1.0
4,463,0.30740173320566927
5,681,0.26848502688136966
6,681,0.26848502688136966
7,681,0.26848502688136966
8,531,1.0
9,638,-0.0038535184957214637
10,100,1.0
11,401,0.44158901428902847
12,664,0.1428839578419376
13,93,1.0
14,265,-0.1224757067361847
15,378,0.4986702923241612
16,378,0.4986702923241612
17,378,0.4986702923241612
18,378,0.4986702923241612
19,378,0.4986702923241612
20,12,0.03618992530302312
21,73,0.47691199639815196
22,644,0.14135840720869952
23,24,0.13030585397388322
24,93,1.0
25,19,0.33332476539457345
26,19,0.33332476539457345
27,19,0.33332476539457345
28,401,0.1673061370835974
29,4,0.3849265018446223
30,377,0.4233854072252716
31,743,0.4161709026328092
32,100,1.0
33,744,0.29454998488800144
34,744,0.29454998488800144
35,515,0.22079557208725714
36,267,0.46741864976740444
37,87,1.0
38,93,1.0
39,100,1.0
40,274,-0.048462644683981405
41,100,1.0
42,428,0.10490862818493446
43,428,0.10490862818493446
44,428,0.10490862818493446
45,428,0.10490862818493446
46,662,0.20130214324498458
47,655,0.032383892582062396
48,602,0.0755039822432179
49,350,0.9999999688346296
50,350,0.9999999688346296
51,663,-0.10783636932179719
52,360,0.0323463416958356
53,315,0.04375319459684317
54,93,1.0
55,100,1.0
56,345,1.0
57,93,1.0
58,416,0.04208003483383524
59,98,0.2670872362441981
60,210,0.10406614660455307
61,210,0.5412465079402642
62,93,1.0
63,464,1.0
64,464,1.0
65,93,1.0
66,387,-0.015011371799448843
67,415,0.720578766158309
68,302,0.999999980670918
69,302,0.999999980670918
70,302,0.999999980670918
71,115,0.18682654158862524
72,115,0.18682654158862524
73,551,1.0
74,551,1.0
75,551,1.0
76,551,1.0
77,551,1.0
78,551,1.0
79,377,0.20293934800373165
80,88,1.0
81,88,1.0
82,88,1.0
83,88,1.0
84,741,0.34221358380572375
85,490,0.17471296038566975
86,490,0.17471296038566975
87,490,0.17471296038566975
88,101,0.37991892108706843
89,101,0.37991892108706843
90,101,0.37991892108706843
91,33,0.43890048573799606
92,100,1.0
93,567,0.5978388852509927
94,567,0.5978388852509927
95,93,1.0
96,734,0.8630882924017483
97,734,0.8630882924017483
98,93,1.0
99,50,0.08404775266634698
100,438,0.046466767100818034
101,558,1.0
102,558,1.0
103,558,1.0
104,558,1.0
105,93,1.0
106,93,1.0
107,93,1.0
108,100,1.0
109,597,0.8874349614792615
110,293,1.0
111,293,1.0
112,293,1.0
113,293,1.0
114,293,1.0
115,293,1.0
116,604,1.0
117,727,0.0
118,215,-0.038302523876104284
119,168,0.21172943500225794
120,168,0.21172943500225794
121,516,0.04707314146258711
122,93,1.0
123,93,1.0
124,723,0.9117342404650846
125,723,0.9117342404650846
126,723,0.9117342404650846
127,723,0.9117342404650846
128,518,0.4524636948835449
129,315,0.33604020813101926
130,142,0.30754695919978214
131,142,0.30754695919978214
132,100,1.0
133,274,0.04336798184005157
134,199,0.185992390298784
135,204,-0.004850674067790021
136,93,1.0
137,93,1.0
138,742,0.03269322500275544
139,382,0.09668349504685728
140,382,0.09668349504685728
141,596,1.0
142,596,1.0
143,596,1.0
144,457,0.007709995510634033
145,93,1.0
146,531,1.0
147,120,0.0708792758416524
148,92,0.3453911906008082
149,92,0.3453911906008082
150,92,0.3453911906008082
151,502,0.08914395275974886
152,602,0.044246904343050515
153,570,0.0
154,385,0.3152447262867835
155,385,0.3152447262867835
156,385,0.3152447262867835
157,58,1.0
158,93,1.0
159,93,1.0
160,659,0.1484834061393362
161,531,1.0
162,531,1.0
163,122,-0.034490661394018574
164,377,0.5077674319786887
165,527,0.5991296889357182
166,593,0.4055332405849517
167,111,0.16250827155301978
168,111,0.16250827155301978
169,100,1.0
170,197,0.043839493624880925
171,249,0.0
172,100,1.0
173,93,1.0
174,100,1.0
175,93,1.0
176,567,0.5978388852509927
177,358,0.017578957833660036
178,531,1.0
179,97,1.0
180,97,1.0
181,97,1.0
182,97,1.0
183,197,0.0591537600547166
184,521,0.0
185,164,0.6722136728476888
186,164,0.6722136728476888
187,164,0.6722136728476888
188,155,0.17951650616841422
189,531,1.0
190,100,1.0
191,93,1.0
192,93,1.0
193,143,0.5814684785952626
194,266,0.03244402567678343
195,518,0.6108656886956063
196,21,-0.14984513236963554
197,260,0.23881763105569498
198,93,1.0
199,100,1.0
200,93,1.0
201,284,0.278559968360205
202,58,1.0
203,743,-0.04504682548413589
204,470,0.5583514797739655
205,470,0.5583514797739655
206,470,0.5583514797739655
207,58,1.0
208,58,1.0
209,58,1.0
210,58,1.0
211,100,1.0
212,312,0.3186972629589827
213,365,0.3504646660542037
214,365,0.3504646660542037
215,516,0.08719203802788825
216,282,0.20681316640730898
217,282,0.20681316640730898
218,282,0.20681316640730898
219,531,1.0
220,657,0.4792411489793888
221,58,1.0
222,58,1.0
223,100,1.0
224,743,-0.04504682548413589
225,467,-0.021880504634373434
226,517,0.039568468691060676
227,598,-0.02411805270244697
228,466,0.0
229,93,1.0
230,472,0.3099997041519914
231,405,0.0
232,100,1.0
233,100,1.0
234,532,0.23355920003036618
235,352,0.12716053379731102
236,438,0.04766024810267209
237,705,0.370670781643496
238,705,0.370670781643496
239,705,0.370670781643496
240,705,0.370670781643496
241,705,0.370670781643496
242,93,1.0
243,87,1.0
244,8,0.14995359047078644
245,115,0.24439956897334164
246,115,0.24439956897334164
247,115,0.24439956897334164
248,115,0.24439956897334164
249,469,0.15889027364250882
250,469,0.15889027364250882
251,564,0.055935966310493475
252,743,0.05796749263869923
253,496,0.3823112970935519
254,446,0.08605194873516751
255,532,0.1111890940697049
256,237,-0.13807433729480897
257,130,1.0
258,130,1.0
259,130,1.0
260,130,1.0
261,282,0.38010333272284214
262,282,0.38010333272284214
263,282,0.38010333272284214
264,282,0.38010333272284214
265,282,0.38010333272284214
266,93,1.0
267,195,0.29395929760027345
268,100,1.0
269,359,0.22201202933494857
270,359,0.22201202933494857
271,359,0.22201202933494857
272,93,1.0
273,516,0.21765431171626934
274,295,0.0
275,377,0.20293934800373165
276,527,0.5991296889357182
277,583,0.19152809890131137
278,583,0.19152809890131137
279,583,0.19152809890131137
280,349,0.5313153349170409
281,349,0.5313153349170409
282,349,0.5313153349170409
283,349,0.5313153349170409
284,349,0.5313153349170409
285,390,0.08363398162252911
286,390,0.08363398162252911
287,106,0.2974087633686732
288,493,0.008315846896403262
289,458,0.9999999823537645
290,458,0.9999999823537645
291,100,1.0
292,527,0.5991296889357182
293,327,0.46902485642602976
294,303,0.13292089968550488
295,303,0.13292089968550488
296,303,0.13292089968550488
297,303,0.13292089968550488
298,377,0.03555888660128639
299,100,1.0
300,93,1.0
301,100,1.0
302,415,0.720578766158309
303,415,0.720578766158309
304,527,0.32961827012118156
305,422,-0.03996646310984875
306,344,0.020706261258513676
307,100,1.0
308,93,1.0
309,93,1.0
310,531,1.0
311,531,1.0
312,93,1.0
313,93,1.0
314,93,1.0
315,300,1.0
316,300,1.0
317,540,0.3877642514626734
318,540,0.3877642514626734
319,58,1.0
320,93,1.0
321,93,1.0
322,100,1.0
323,93,1.0
324,44,-0.18412955689260327
325,370,0.3326981881841601
