,Labels,Silhouette_samples
0,275,0.37511905253095185
1,591,0.9389222860436695
2,558,0.23740622727412783
3,424,0.8787494482456613
4,400,1.0
5,591,0.9389222860436695
6,591,0.9389222860436695
7,232,0.7686617951782314
8,564,0.6328622745656473
9,433,0.13674053748963869
10,558,0.31058097191728246
11,558,0.1431075615199269
12,591,0.9389222860436695
13,552,0.3445072461357453
14,10,-0.008490165544189106
15,65,0.9832467958280087
16,50,0.036558687714093444
17,564,0.24540999880123
18,558,0.2803585919666949
19,591,0.9389222860436695
20,558,0.20196766695946713
21,558,0.19501039460555994
22,424,0.8787494482456613
23,478,0.12303207532882389
24,354,0.20824861003354397
25,591,0.9389222860436695
26,558,-0.0006387419487701505
27,591,0.9389222860436695
28,564,0.16824862021934586
29,591,0.9389222860436695
30,591,0.9389222860436695
31,79,0.2883456853477877
32,10,-0.021776344161598394
33,558,0.21595053945029538
34,591,0.9389222860436695
35,558,0.05444987181946059
36,558,0.30577246341524184
37,558,0.21424450241887302
38,424,0.8787494482456613
39,424,0.8787494482456613
40,591,0.9389222860436695
41,141,0.07480328059270332
42,591,0.05312909268675949
43,424,0.8787494482456613
44,470,0.030335821011842207
45,424,0.8787494482456613
46,558,0.13605517637013503
47,424,0.8787494482456613
48,226,0.48580483192219914
49,50,0.13849829367064687
50,424,0.8787494482456613
51,502,0.8835918726494917
52,558,0.23546130778356153
53,64,0.25419060752403594
54,564,0.045415175629657245
55,558,0.23740622727412783
56,424,0.8787494482456613
57,170,0.5095953018858689
58,591,0.9389222860436695
59,591,0.9389222860436695
60,226,0.06484595908243264
61,465,0.04629939372240515
62,591,0.9389222860436695
63,591,0.9389222860436695
64,364,0.25634180548795626
65,591,0.9389222860436695
66,591,0.9389222860436695
67,424,0.12113099623549055
68,591,0.9389222860436695
69,437,0.21831402507355063
70,202,0.22777304458986156
71,564,0.6328622745656473
72,424,0.8787494482456613
73,558,-0.008387756891709739
74,438,0.15467302135090497
75,465,0.14274642027847842
76,424,0.8787494482456613
77,591,0.9389222860436695
78,424,0.8787494482456613
79,212,0.05451354995296069
80,564,0.49708930681044045
81,591,0.9389222860436695
82,424,0.8787494482456613
83,591,0.9389222860436695
84,226,0.34384258942694623
85,51,0.23493222973795785
86,591,0.9389222860436695
87,591,0.9389222860436695
88,558,0.33841783748227483
89,141,0.08799560692028406
90,399,0.200078068324353
91,141,0.009425577519366042
92,400,1.0
93,395,0.04963571401451004
94,591,0.9389222860436695
95,591,0.9389222860436695
96,591,0.9389222860436695
97,591,0.9389222860436695
98,591,0.9389222860436695
99,591,0.9389222860436695
100,141,0.15879976797233328
101,51,0.23197439553784827
102,240,0.03754067789791964
103,591,0.9389222860436695
104,564,0.35066140043232336
105,591,0.9389222860436695
106,400,1.0
107,591,0.9389222860436695
108,334,-0.07088560168715831
109,424,0.8787494482456613
110,502,0.8835918726494917
111,424,0.8787494482456613
112,591,0.9389222860436695
113,591,0.025389693449234144
114,334,-0.005674953965539816
115,558,0.20909671842349134
116,591,0.9389222860436695
117,141,0.10067584426561024
118,433,0.18436297805004764
119,591,0.9389222860436695
120,232,0.7686617951782314
121,591,0.9389222860436695
122,65,-0.006321022987900629
123,424,0.8787494482456613
124,433,0.20579862532564816
125,558,0.18212158629280853
126,10,0.04598126983125994
127,51,0.25831859611503527
128,141,0.29777933755271274
129,591,0.9389222860436695
130,275,0.5767031381273451
131,591,0.9389222860436695
132,502,0.8835918726494917
133,465,0.016134966732460152
134,465,0.0974266952614865
135,384,0.10538369006594389
136,79,0.34892619052023427
137,79,0.2201208656191293
138,591,0.025389693449234144
139,465,0.1450609007506116
140,399,0.08136586291298951
141,591,0.9389222860436695
142,400,1.0
143,400,1.0
144,79,0.3579614200326196
145,591,0.9389222860436695
146,424,-0.006031639173121722
147,51,0.1739065470859259
148,79,0.2758976503105314
149,564,0.6328622745656473
150,465,0.011103065289743958
151,386,0.06412474048518305
152,424,0.8787494482456613
153,558,-0.0015135428845320141
154,424,0.8787494482456613
155,591,0.9389222860436695
156,64,0.1169207488325779
157,400,1.0
158,251,0.08603741256668639
159,591,0.9389222860436695
160,232,0.14052146839205715
161,400,1.0
162,558,0.33841783748227483
163,400,1.0
164,591,0.9389222860436695
165,564,0.4205832275739902
166,564,0.49708930681044045
167,433,0.22975750836668352
168,31,-0.03917418846548513
169,591,0.9389222860436695
170,170,0.09495483549979579
171,400,1.0
172,275,0.5767031381273451
173,591,0.9389222860436695
174,591,0.9389222860436695
175,586,0.009541290543582017
176,591,0.9389222860436695
177,278,0.278879782408719
178,564,0.6328622745656473
179,591,0.9389222860436695
180,275,0.5767031381273451
181,591,0.9389222860436695
182,50,0.24961533852428744
183,354,0.3275266299668232
184,424,0.8787494482456613
185,400,1.0
186,591,0.9389222860436695
187,275,0.5767031381273451
188,424,0.8787494482456613
189,424,0.8787494482456613
190,141,0.027560300309200408
191,424,0.8787494482456613
192,558,0.08187066360099325
193,480,0.04602183058116477
194,591,0.9389222860436695
195,502,0.8835918726494917
196,558,0.10696223918227314
197,564,0.49708930681044045
198,564,0.34929924516249905
199,424,0.8787494482456613
200,558,0.050474277852721655
201,591,0.9389222860436695
202,424,0.8787494482456613
203,424,0.8787494482456613
204,470,0.10308010804587679
205,502,0.8835918726494917
206,502,0.8835918726494917
207,424,0.8787494482456613
208,79,0.45678385629822293
209,424,0.8787494482456613
210,400,1.0
211,308,-0.002813443177539809
212,502,0.8835918726494917
213,558,0.16455945398439553
214,141,0.29777933755271274
215,424,0.8787494482456613
216,424,0.8787494482456613
217,591,0.9389222860436695
218,558,0.25048130717721434
219,473,0.2510193650940056
220,275,0.5767031381273451
221,424,0.8787494482456613
222,558,0.0571735144320295
223,558,0.33841783748227483
224,50,0.14626092574644378
225,564,0.48186282527684726
226,591,0.9389222860436695
227,591,0.9389222860436695
228,586,0.046836993761997806
229,591,0.9389222860436695
230,552,0.3445072461357453
231,591,0.0780939352767967
232,400,1.0
233,564,0.6328622745656473
234,79,0.3721571072310759
235,564,0.4564270225810717
236,424,0.8787494482456613
237,552,0.006016317904127617
238,591,0.9389222860436695
239,424,0.8787494482456613
240,278,0.043999999354757804
241,591,0.9389222860436695
242,465,0.054110388674441776
243,141,0.29777933755271274
244,564,0.4448460385457019
245,424,0.8787494482456613
246,558,0.1730599481954603
247,591,0.9389222860436695
248,564,0.48186282527684726
249,251,0.27880829981203203
250,478,0.027534451873779422
251,141,0.06431652809761103
252,591,0.9389222860436695
253,502,0.8835918726494917
254,141,-0.008691314949842998
255,591,0.46238178313448597
256,79,0.44010424375646456
257,591,0.9389222860436695
258,141,0.057140820410021456
259,591,0.9389222860436695
260,424,0.8787494482456613
261,591,0.025389693449234144
262,465,0.06768674569353504
263,50,0.10550994532701248
264,591,0.02036481630561089
265,591,0.9389222860436695
266,591,0.9389222860436695
267,424,0.8787494482456613
268,79,0.384586254299836
269,400,1.0
270,558,0.28964908148044133
271,591,0.9389222860436695
272,465,0.08248373009530979
273,591,0.9389222860436695
274,424,0.8787494482456613
275,564,0.4205832275739902
276,424,0.8787494482456613
277,232,0.7686617951782314
278,564,0.6328622745656473
279,591,0.9389222860436695
280,9,0.007120160163629437
281,591,0.9389222860436695
282,558,0.14014305721785028
283,424,0.8787494482456613
284,424,0.8787494482456613
285,591,0.9389222860436695
286,424,0.1321465661816462
287,591,0.9389222860436695
288,10,0.1696279864866996
289,189,0.0
290,591,0.9389222860436695
291,64,0.16353482287111254
292,400,1.0
293,591,0.9389222860436695
294,564,0.3665988523394815
295,50,0.11566553584686846
296,564,0.6328622745656473
297,141,0.108663470840457
298,591,0.9389222860436695
299,141,0.18217480142881495
300,64,0.17072675968701856
301,424,0.8787494482456613
302,400,1.0
303,502,0.8835918726494917
304,52,0.39738907821202596
305,558,0.08318566818584672
306,51,0.02206298130838679
307,552,0.3445072461357453
308,424,0.8787494482456613
309,487,0.12355912448513098
310,591,0.9389222860436695
311,558,0.011916050761658678
312,51,0.22053655571413636
313,564,0.6328622745656473
314,400,1.0
315,564,0.10354623280952835
316,591,0.9389222860436695
317,232,0.7686617951782314
318,558,0.28964908148044133
319,79,0.4626315253192796
320,400,1.0
321,104,0.18518139048358082
322,424,0.8787494482456613
323,591,0.9389222860436695
324,591,0.9389222860436695
325,424,0.8787494482456613
326,424,0.8787494482456613
327,558,0.15462337568891404
328,591,0.9389222860436695
329,591,0.9389222860436695
330,424,0.8787494482456613
331,424,0.8787494482456613
332,591,0.9389222860436695
333,424,0.8787494482456613
334,435,0.14416031504642823
335,591,0.9389222860436695
336,334,0.04527291404314628
337,399,0.31256972102760605
338,558,0.019163352573836914
339,558,-0.001614589506020209
340,591,0.9389222860436695
341,591,0.9389222860436695
342,51,0.11875042558204116
343,51,0.0573051914956531
344,424,0.8787494482456613
345,571,-0.014519016549328021
346,591,0.9389222860436695
347,564,0.6328622745656473
348,141,0.022576287968666613
349,251,0.252415617227484
350,591,0.9389222860436695
351,141,0.06431652809761103
352,141,0.061168317628917855
353,558,0.23740622727412783
354,278,0.3230337372371105
355,400,1.0
356,591,0.9389222860436695
357,591,0.9389222860436695
358,50,0.08624219669754768
359,487,-0.03204375150891288
360,10,0.025199475019357532
361,591,0.9389222860436695
362,591,0.9389222860436695
363,591,0.9389222860436695
364,79,0.32564117287009176
365,424,0.8787494482456613
366,79,0.28551859582950656
