,Labels,Silhouette_samples
0,107,1.0
1,208,0.7875065789832847
2,80,1.0
3,643,0.048340992119120824
4,327,1.0
5,155,0.70927710684456
6,459,0.402707044375089
7,80,1.0
8,263,0.3782186848359748
9,263,0.3782186848359748
10,116,0.46975113435065724
11,116,0.46975113435065724
12,116,0.46975113435065724
13,116,0.46975113435065724
14,116,0.46975113435065724
15,116,0.46975113435065724
16,80,1.0
17,699,1.0
18,448,0.4603656216899338
19,107,1.0
20,80,1.0
21,80,1.0
22,444,0.3503279978193475
23,2,1.0
24,62,0.058194909580046285
25,80,1.0
26,136,0.5810062627318573
27,481,0.7437048118863752
28,80,1.0
29,380,0.0
30,485,0.4229364450017122
31,485,0.4229364450017122
32,485,0.4229364450017122
33,76,0.21231358849536233
34,76,0.21231358849536233
35,615,0.37506470660686875
36,615,0.37506470660686875
37,731,0.15431355111343756
38,327,1.0
39,481,0.7437048118863752
40,341,0.7203832922244747
41,341,0.7203832922244747
42,341,0.7203832922244747
43,123,0.07240235003162841
44,107,1.0
45,503,0.09359124441164927
46,373,0.7548341686877179
47,391,0.039449134873634044
48,209,0.6282955681147172
49,396,1.0
50,651,0.5610942413992099
51,651,0.5610942413992099
52,651,0.5610942413992099
53,651,0.5610942413992099
54,396,1.0
55,472,0.28124348821198114
56,454,0.3095946532265663
57,454,0.3095946532265663
58,454,0.3095946532265663
59,454,0.3095946532265663
60,454,0.3095946532265663
61,171,0.5106014922858567
62,80,1.0
63,17,1.0
64,686,0.6235797583561608
65,450,0.14515535127120888
66,450,0.14515535127120888
67,450,0.14515535127120888
68,450,0.14515535127120888
69,507,-0.042435113216226096
70,261,0.026147659011644873
71,467,0.12855328106322267
72,17,1.0
73,107,1.0
74,539,-0.17232155992177256
75,506,0.11700402137185743
76,326,0.15015110350142455
77,396,1.0
78,675,0.5346666499844028
79,80,1.0
80,504,0.051440606464349094
81,80,1.0
82,107,1.0
83,80,1.0
84,390,0.4302174224342479
85,314,1.0
86,314,1.0
87,314,1.0
88,314,1.0
89,314,1.0
90,314,1.0
91,314,1.0
92,690,0.791736519227634
93,690,0.791736519227634
94,690,0.791736519227634
95,690,0.791736519227634
96,690,0.791736519227634
97,690,0.791736519227634
98,690,0.791736519227634
99,690,0.791736519227634
100,690,0.791736519227634
101,80,1.0
102,390,0.40676990602467517
103,505,0.32577607706295203
104,505,0.32577607706295203
105,505,0.32577607706295203
106,505,0.32577607706295203
107,505,0.32577607706295203
108,715,0.7819204314613721
109,616,0.1325438014014341
110,715,0.30967781194745536
111,107,1.0
112,107,1.0
113,556,0.189414163679637
114,63,0.0
115,391,0.3646672169699758
116,327,1.0
117,199,0.3661704402020966
118,107,1.0
