,Labels,Silhouette_samples
0,124,1.0
1,86,0.6977265713489411
2,55,1.0
3,658,0.016720500370882775
4,582,1.0
5,672,0.7648608229937022
6,107,0.3256127258353162
7,55,1.0
8,464,0.9999999798241941
9,464,0.9999999798241941
10,744,0.15735970361118248
11,744,0.15735970361118248
12,744,0.15735970361118248
13,744,0.15735970361118248
14,744,0.15735970361118248
15,744,0.15735970361118248
16,55,1.0
17,405,0.6035712459538645
18,396,0.4386844748891302
19,124,1.0
20,55,1.0
21,55,1.0
22,398,0.631704675766471
23,2,1.0
24,260,0.021673657275772338
25,55,1.0
26,355,0.20738900189306012
27,611,0.8177837660917437
28,55,1.0
29,13,0.015975973559263706
30,157,0.7758522740871295
31,157,0.7758522740871295
32,157,0.7758522740871295
33,417,1.0
34,417,1.0
35,366,0.10518166457764071
36,366,0.10518166457764071
37,687,0.12238577157799051
38,582,1.0
39,611,0.8177837660917437
40,54,0.7117782657234214
41,54,0.7117782657234214
42,54,0.7117782657234214
43,336,0.2683226147087263
44,124,1.0
45,689,0.10685969872603902
46,550,0.7752009610864364
47,105,0.03355245230531744
48,392,0.19912170935359927
49,287,1.0
50,601,0.6248629909333492
51,601,0.6248629909333492
52,601,0.6248629909333492
53,601,0.6248629909333492
54,287,1.0
55,101,0.2838917800422822
56,458,0.43829951868197714
57,458,0.43829951868197714
58,458,0.43829951868197714
59,458,0.43829951868197714
60,458,0.43829951868197714
61,271,0.3872352432417846
62,55,1.0
63,59,1.0
64,44,0.5225003085315859
65,729,0.3551156469043267
66,729,0.3551156469043267
67,729,0.3551156469043267
68,729,0.3551156469043267
69,632,0.007765697075211027
70,202,0.10199630000053198
71,568,0.09530713157261624
72,59,1.0
73,124,1.0
74,71,0.06993358226195966
75,38,-0.004174723426347296
76,530,0.16358437771479895
77,287,1.0
78,392,0.3607790596414444
79,55,1.0
80,737,0.06074497191105234
81,55,1.0
82,124,1.0
83,55,1.0
84,358,0.15013305544717698
85,663,0.851382513587452
86,663,0.851382513587452
87,663,0.851382513587452
88,663,0.851382513587452
89,663,0.851382513587452
90,663,0.851382513587452
91,663,0.851382513587452
92,749,0.6614829900774873
93,749,0.6614829900774873
94,749,0.6614829900774873
95,749,0.6614829900774873
96,749,0.6614829900774873
97,749,0.6614829900774873
98,749,0.6614829900774873
99,749,0.6614829900774873
100,749,0.6614829900774873
101,55,1.0
102,358,0.1469399972250737
103,297,0.47309918220082103
104,297,0.47309918220082103
105,297,0.47309918220082103
106,297,0.47309918220082103
107,297,0.47309918220082103
108,480,1.0
109,162,0.3329271133302673
110,283,1.0
111,124,1.0
112,124,1.0
113,746,0.27562790768658485
114,15,0.0
115,34,0.5106029748579676
116,582,1.0
117,505,0.18307173314593747
118,124,1.0
119,270,0.18347914102824658
120,124,1.0
121,629,-0.060793993049729135
122,396,0.14239747987876727
123,124,1.0
124,165,0.18754609348499962
125,165,0.18754609348499962
126,270,0.09560224644680242
127,55,1.0
128,622,0.5674434631878484
129,98,0.2964440086508742
130,98,0.2964440086508742
131,98,0.2964440086508742
132,270,0.047807234685603835
133,270,0.047807234685603835
134,270,0.047807234685603835
135,220,0.3164453904511594
136,608,0.6614133131293476
137,608,0.6614133131293476
138,608,0.6614133131293476
139,608,0.6614133131293476
140,608,0.6614133131293476
141,608,0.6614133131293476
142,562,0.03485414591516221
143,562,0.03485414591516221
144,124,1.0
145,55,1.0
146,2,1.0
147,132,0.3160841491012205
148,132,0.3160841491012205
149,124,1.0
150,2,1.0
151,601,0.12981354203595089
152,601,0.12981354203595089
153,55,1.0
154,44,0.4369781425113281
155,609,0.0
156,55,1.0
157,55,1.0
158,553,0.5388707844824868
159,128,1.0
160,128,1.0
161,128,1.0
162,101,0.4346724663849193
163,101,0.4346724663849193
164,44,0.36546811251583516
165,124,1.0
166,518,0.01832003787578153
167,55,1.0
168,178,0.41105567435906065
169,178,0.41105567435906065
170,178,0.41105567435906065
171,55,1.0
172,55,1.0
173,0,0.33341937059860544
174,0,0.33341937059860544
175,311,0.21461429848131933
176,55,1.0
177,102,0.21736953195375194
178,102,0.21736953195375194
179,124,1.0
180,44,0.5225003085315859
181,209,0.7669450065557913
182,229,0.12100575004650206
183,394,0.06252518171777739
184,394,0.06252518171777739
185,562,0.029372410213101663
186,105,0.2581469431319203
187,66,0.15971358302653058
188,645,0.3535719328203631
189,14,0.14223284096993152
190,729,0.02090108084781108
191,416,0.10736896462954412
192,379,0.10689362356868984
193,125,0.24534963330265772
194,124,1.0
195,582,1.0
196,582,1.0
197,22,-0.008432399060470388
198,391,0.3529522242304127
199,391,0.3529522242304127
200,391,0.3529522242304127
201,124,1.0
202,148,0.05295446404360692
203,582,1.0
204,287,1.0
205,55,1.0
206,74,0.4140251285633619
207,74,0.4140251285633619
208,124,1.0
209,553,0.39695427491186125
210,165,-0.07635073895292399
211,55,1.0
212,262,0.7120768764354932
213,397,0.09783097025712241
214,622,0.7714991405656636
215,622,0.7714991405656636
216,677,0.49382822199908055
217,677,0.49382822199908055
218,677,0.49382822199908055
219,677,0.49382822199908055
220,677,0.49382822199908055
221,287,1.0
222,55,1.0
223,45,0.0
224,124,1.0
225,582,1.0
226,582,1.0
227,582,1.0
228,55,1.0
229,55,1.0
230,82,0.9999999722709153
231,82,0.9999999722709153
232,304,0.033996025806596955
233,134,0.734615895008209
234,134,0.734615895008209
235,134,0.734615895008209
236,134,0.734615895008209
237,134,0.734615895008209
238,134,0.734615895008209
239,585,0.0603332041476345
240,55,1.0
241,55,1.0
242,531,0.22790102954078675
243,55,1.0
244,124,1.0
245,124,1.0
246,124,1.0
247,719,0.7238568441931316
248,719,0.7238568441931316
249,719,0.7238568441931316
250,719,0.7238568441931316
251,719,0.7238568441931316
252,719,0.7238568441931316
253,73,0.034081856638816216
254,124,1.0
255,564,0.4354746336680121
256,564,0.4354746336680121
257,564,0.4354746336680121
258,153,-0.011364290091790023
259,176,0.25909643575351277
260,60,0.15163096134699325
261,124,1.0
262,55,1.0
263,102,0.16395787547906057
264,246,-0.12672814414287806
265,256,0.7674365364813523
266,256,0.7674365364813523
267,256,0.7674365364813523
268,325,0.18570587133606628
269,325,0.18570587133606628
270,197,0.11431941810788149
271,55,1.0
272,141,0.13831987147942812
273,141,0.13831987147942812
274,141,0.13831987147942812
275,141,0.13831987147942812
276,55,1.0
277,55,1.0
278,55,1.0
279,466,0.1255341222921404
280,466,0.1255341222921404
281,59,1.0
282,287,1.0
283,105,0.2619484101982753
284,30,1.0
285,287,1.0
286,79,0.18033189182540044
287,156,0.0
288,377,0.3966178101875223
289,377,0.3966178101875223
290,55,1.0
291,141,0.2865237906716193
292,141,0.2865237906716193
293,141,0.2865237906716193
294,141,0.2865237906716193
295,124,1.0
296,287,1.0
297,452,0.2120965193749312
298,452,0.2120965193749312
299,452,0.2120965193749312
300,452,0.2120965193749312
301,55,1.0
302,55,1.0
303,55,1.0
304,55,1.0
305,118,0.06604192752812064
306,1,0.14340715902464307
307,611,0.8177837660917437
308,55,1.0
309,483,0.6215395561953312
310,483,0.6215395561953312
311,582,1.0
312,582,1.0
313,80,-0.19122125933188266
314,618,0.2104769472034362
315,618,0.2104769472034362
316,197,0.13162202857262434
317,35,-0.05602966297576388
318,55,1.0
319,124,1.0
320,160,0.00664509025673059
321,124,1.0
322,137,1.0
323,137,1.0
324,137,1.0
325,347,1.0
326,347,1.0
327,124,1.0
328,124,1.0
329,582,1.0
330,582,1.0
331,172,0.3117993149328567
332,124,1.0
333,287,1.0
334,582,1.0
335,392,0.19912170935359927
336,452,0.16155303703399876
