,Labels,Silhouette_samples
0,163,1.0
1,414,0.73823220102565
2,72,1.0
3,708,0.20186521662896317
4,178,1.0
5,62,0.5941214859627499
6,611,0.39407566759547563
7,72,1.0
8,213,0.5143211741253189
9,213,0.5143211741253189
10,463,0.3796741908048943
11,463,0.3796741908048943
12,463,0.3796741908048943
13,463,0.3796741908048943
14,463,0.3796741908048943
15,463,0.3796741908048943
16,72,1.0
17,639,0.5819134078428732
18,628,0.5917768841501595
19,163,1.0
20,72,1.0
21,72,1.0
22,558,0.4746718672061159
23,21,1.0
24,233,0.028324926018859723
25,72,1.0
26,97,0.22891295466562236
27,638,0.9479506102063447
28,72,1.0
29,171,0.026407950740281943
30,224,0.45150785997122794
31,224,0.45150785997122794
32,224,0.45150785997122794
33,676,0.3536253919208035
34,676,0.3536253919208035
35,536,0.10809767389854268
36,536,0.10809767389854268
37,452,0.48361066719651913
38,178,1.0
39,638,0.9479506102063447
40,487,0.3457284260305118
41,487,0.3457284260305118
42,487,0.3457284260305118
43,617,0.20477706516828637
44,163,1.0
45,612,0.07771554824117427
46,624,0.8057720626322562
47,322,0.08943819079855435
48,197,0.5346452626710815
49,583,1.0
50,399,0.503804730477735
51,399,0.503804730477735
52,399,0.503804730477735
53,399,0.503804730477735
54,583,1.0
55,266,0.28199406995186216
56,691,0.5693356562165471
57,691,0.5693356562165471
58,691,0.5693356562165471
59,691,0.5693356562165471
60,691,0.5693356562165471
61,696,0.21475772576676516
62,72,1.0
63,261,1.0
64,29,0.5134874916237754
65,632,0.4449400966332492
66,632,0.4449400966332492
67,632,0.4449400966332492
68,632,0.4449400966332492
69,458,0.0813959054574661
70,612,0.07543098533266573
71,309,0.045580377930231564
72,261,1.0
73,163,1.0
74,522,-0.07963744827654365
75,171,0.2581709074505545
76,168,-0.01479734024394891
77,583,1.0
78,395,0.5850713519720865
79,72,1.0
80,148,0.032382297042452865
81,72,1.0
82,163,1.0
83,72,1.0
84,678,0.3882104189492945
85,225,0.851382513587452
86,225,0.851382513587452
87,225,0.851382513587452
88,225,0.851382513587452
89,225,0.851382513587452
90,225,0.851382513587452
91,225,0.851382513587452
92,431,0.6590921723866803
93,431,0.6590921723866803
94,431,0.6590921723866803
95,431,0.6590921723866803
96,431,0.6590921723866803
97,431,0.6590921723866803
98,431,0.6590921723866803
99,431,0.6590921723866803
100,431,0.6590921723866803
101,72,1.0
102,678,0.3059195338490928
103,418,0.2200204619325807
104,418,0.2200204619325807
105,418,0.2200204619325807
106,418,0.2200204619325807
107,418,0.2200204619325807
108,397,0.7214850025698841
109,501,0.2264403018837034
110,397,0.4440542771203606
111,163,1.0
112,163,1.0
113,211,0.13542965233661233
114,27,0.021152016768131363
115,322,0.5165499225781263
116,178,1.0
117,50,0.3430974866375831
118,163,1.0
119,107,0.3217283993509349
120,163,1.0
121,210,0.14080309661648088
122,681,-0.05580286018042393
123,163,1.0
124,612,0.1283318218603613
125,612,0.1283318218603613
126,243,0.13426123828744035
127,72,1.0
128,647,0.6274356686968875
129,246,0.1283733647639898
130,246,0.1283733647639898
131,246,0.1283733647639898
132,243,0.3879840324568255
133,243,0.3879840324568255
134,243,0.3879840324568255
135,338,0.33954618702507655
136,604,0.3054430204806976
137,604,0.3054430204806976
138,604,0.3054430204806976
139,604,0.3054430204806976
140,604,0.3054430204806976
141,604,0.3054430204806976
142,613,0.21520871316304838
143,613,0.21520871316304838
144,163,1.0
145,72,1.0
146,21,1.0
147,385,0.34224253253919434
148,385,0.34224253253919434
149,163,1.0
150,21,1.0
151,57,0.17270027706366217
152,57,0.17270027706366217
153,72,1.0
154,704,0.5188949808606316
155,595,0.008143623740074572
156,72,1.0
157,72,1.0
158,387,0.6428203675700143
159,248,1.0
160,248,1.0
161,248,1.0
162,266,0.43782379925354425
163,266,0.43782379925354425
164,188,0.4696106894313086
165,163,1.0
166,60,0.01058137880487821
167,72,1.0
168,150,0.45612021730505753
169,150,0.45612021730505753
170,150,0.45612021730505753
171,72,1.0
172,72,1.0
173,58,1.0
174,58,1.0
175,475,0.08175237071999528
176,72,1.0
177,360,0.25030839292931845
178,360,0.25030839292931845
179,163,1.0
180,29,0.5134874916237754
181,395,0.6494518419238331
182,40,-0.016756585521098637
183,274,0.13412321164749658
184,274,0.13412321164749658
185,549,0.0
186,274,0.08414710198699661
187,237,0.2925971988892815
188,499,0.1378565159344811
189,96,0.23740193964372425
190,662,0.017868963686886914
191,238,0.2033697228815567
192,705,0.03143887702956588
193,622,0.2590076254565063
194,163,1.0
195,178,1.0
196,178,1.0
197,11,-0.041493851068392415
198,686,0.6242946506581944
199,686,0.6242946506581944
200,686,0.6242946506581944
201,163,1.0
202,630,-0.11577834809892242
203,178,1.0
204,583,1.0
205,72,1.0
206,351,0.20545778147410526
207,351,0.20545778147410526
208,163,1.0
209,387,0.44740115085980203
210,376,0.07221125201787931
211,72,1.0
212,642,0.7141886570221028
213,240,0.056191478671429776
214,647,0.6177835867382083
215,647,0.6177835867382083
216,479,0.36645940203401084
217,479,0.36645940203401084
218,479,0.36645940203401084
219,479,0.36645940203401084
220,479,0.36645940203401084
221,583,1.0
222,72,1.0
223,60,0.154779299447645
224,163,1.0
225,178,1.0
226,178,1.0
227,178,1.0
228,72,1.0
229,72,1.0
230,125,0.48079763179449453
231,125,0.48079763179449453
232,241,0.11911824707042833
233,3,0.7203426034584922
234,3,0.7203426034584922
235,3,0.7203426034584922
236,3,0.7203426034584922
237,3,0.7203426034584922
238,3,0.7203426034584922
239,94,0.048052199147452596
240,72,1.0
241,72,1.0
242,113,0.21574095528209242
243,72,1.0
244,163,1.0
245,163,1.0
246,163,1.0
247,233,0.6029841907580074
248,233,0.6029841907580074
249,233,0.6029841907580074
250,233,0.6029841907580074
251,233,0.6029841907580074
252,233,0.6029841907580074
253,430,0.02030915526549373
254,163,1.0
255,496,0.18065922769339965
256,496,0.18065922769339965
257,496,0.18065922769339965
258,28,0.16106968482575687
259,80,0.09468841849325832
260,161,-0.00039351981694090023
261,163,1.0
262,72,1.0
263,360,0.07198624000688063
264,240,0.0005232378087486985
265,244,0.4518040000717524
266,244,0.4518040000717524
267,244,0.4518040000717524
268,649,0.3313630444372595
269,649,0.3313630444372595
270,566,0.093329090830446
271,72,1.0
272,608,0.3125181729901259
273,608,0.3125181729901259
274,608,0.3125181729901259
275,608,0.3125181729901259
276,72,1.0
277,72,1.0
278,72,1.0
279,574,0.32948724997792855
280,574,0.32948724997792855
281,261,1.0
282,583,1.0
283,322,0.04770204536984906
284,169,1.0
285,583,1.0
286,669,0.06381483978776105
287,9,0.2654437092990918
288,740,0.683894506936981
289,740,0.683894506936981
290,72,1.0
291,608,0.40731205156829675
292,608,0.40731205156829675
293,608,0.40731205156829675
294,608,0.40731205156829675
295,163,1.0
296,583,1.0
297,120,0.33257897621940213
298,120,0.33257897621940213
299,120,0.33257897621940213
300,120,0.33257897621940213
301,72,1.0
302,72,1.0
303,72,1.0
304,72,1.0
305,300,0.23151347154345744
306,532,0.3301714661142594
307,638,0.9479506102063447
308,72,1.0
309,123,1.0
310,123,1.0
311,178,1.0
312,178,1.0
313,100,0.0
314,35,1.0
315,35,1.0
316,566,0.16218223000822746
317,741,0.42371442486931765
318,72,1.0
319,163,1.0
320,39,-0.22195038278297022
321,163,1.0
322,463,0.19652995706501247
323,463,0.19652995706501247
324,463,0.19652995706501247
325,254,1.0
326,254,1.0
327,163,1.0
328,163,1.0
329,178,1.0
330,178,1.0
331,455,0.5923204591079616
332,163,1.0
333,583,1.0
334,178,1.0
335,197,0.5346452626710815
336,120,0.2056954387164854
337,120,0.2056954387164854
338,110,0.4146463903486539
